year_week,week_start,items_sold,prorated,is_partial
2025-W43,2025-10-20,64,64,False
2025-W44,2025-10-27,32,32,False
2025-W45,2025-11-03,34,34,False
2025-W46,2025-11-10,60,60,False
2025-W47,2025-11-17,39,39,False
2025-W48,2025-11-24,108,108,False
2025-W49,2025-12-01,150,150,False
2025-W50,2025-12-08,63,63,False
2025-W51,2025-12-15,86,86,False
2025-W52,2025-12-22,81,81,False
2026-W01,2025-12-29,100,100,False
2026-W02,2026-01-05,100,100,False
2026-W03,2026-01-12,93,93,False
2026-W04,2026-01-19,58,203,True
